gender,Sleep_attendance,heart_focus,Workload_leisure,Relationship_workload,illness_focus,isolation_competition
Male,76.32,52.33,51.71,56.06,59.33,51.18
Female,79.52,55.48,47.59,56.93,59.33,54.81
