gender,relationship_anxiety,working_anxiety,instructor_anxiety,confidence_anxiety,sleep_anxiety,heart_anxiety,irritated_anxiety,focus_anxiety,overwhelmed_anxiety,attendance_anxiety
Male,49.61,44.09,41.73,49.61,64.57,63.78,54.72,59.45,50.79,74.8
Female,47.65,52.35,45.64,59.06,70.47,61.07,59.73,59.73,48.99,78.52
