gender,relationship_stress,environment_stress,instructor_stress,Home_stress,weight_stress,Confidence_stress,peers_stress,focus_stress,Sleep_stress,Heart_stress,attendance_stress
Male,44.35,43.79,44.92,40.11,44.35,50.85,44.07,53.95,59.04,64.41,71.19
Female,50,47.92,44.27,42.19,42.19,59.9,51.04,55.21,59.9,64.06,75
